time,prcp,level,inflow,outflow
2012/5/14 20:00,2.04,149.9,187.6,187.6
2012/5/14 23:00,1.14,149.93,175.4,8.2
2012/5/15 2:00,24.7,150.04,559.7,0
2012/5/15 5:00,15.11,150.21,1016.8,0
2012/5/15 8:00,9.13,150.43,1247.5,4.9
2012/5/15 11:00,3.66,150.59,1204.9,301.2
2012/5/15 14:00,3.14,150.76,1265.9,305.6
2012/5/15 17:00,3.19,150.87,1168.8,547.4
2012/5/15 20:00,1.13,150.97,993.4,428.5
2012/5/15 23:00,0.46,151.08,811.6,184.2
2012/5/16 2:00,0.06,151.2,822.2,135
2012/5/16 5:00,3.4,151.32,687.1,0
2012/5/16 8:00,2.94,151.4,609.9,151.9
2012/5/16 11:00,1.03,151.43,536,364.3
2012/5/16 14:00,0.8,151.46,476.1,304.3
2012/5/16 17:00,0.58,151.49,540.5,368.7
2012/5/16 20:00,,151.5,426,368.8
2012/5/16 23:00,,151.51,480.8,423.6
2012/5/17 2:00,,151.5,422,479.2
2012/5/17 5:00,,151.54,415.6,186.6
2012/5/17 8:00,,151.56,301.2,186.6
2012/5/17 11:00,,151.57,440.5,383.2
2012/5/17 14:00,,151.58,416.9,359.7
2012/5/17 17:00,,151.54,311,540.1
2012/5/17 20:00,,151.51,180.5,352.3
2012/5/17 23:00,,151.49,256.2,370.7
2012/5/18 2:00,,151.47,256.1,370.6
2012/5/18 5:00,,151.46,313.3,370.5
2012/5/18 8:00,,151.43,198.5,370.4
,,,,
,,,,
,,,,
,,,,
,,,,
