time,prcp,level,outflow,inflow
2025/9/28 20:00,1.71,150.98,557.6,158.3
2025/9/28 23:00,1.73,150.9,557.7,105.8
2025/9/29 2:00,4.22,150.84,557.3,218.4
2025/9/29 5:00,1.37,150.76,557.1,105.2
2025/9/29 8:00,9.53,150.69,556.8,161.5
2025/9/29 11:00,14.3,150.64,457,174.6
2025/9/29 14:00,30.4,150.73,180.4,688.8
2025/9/29 17:00,9.19,150.93,418.2,1547.9
2025/9/29 20:00,5.19,151.21,289.7,1887.6
2025/9/29 23:00,3.13,151.38,430.4,1403.7
2025/9/30 2:00,6.7,151.51,103.4,847.7
2025/9/30 5:00,12.08,151.64,4,748.4
2025/9/30 8:00,26.22,151.86,125.1,1384.8
2025/9/30 11:00,1.25,152.16,362.8,2092.9
2025/9/30 14:00,0.06,152.5,196.2,2270
2025/9/30 17:00,,152.73,364.1,1698.8
2025/9/30 20:00,,152.92,173.2,1275.7
2025/9/30 23:00,,153.03,301.2,941.9
2025/10/1 2:00,,153.12,100.9,630.1
2025/10/1 5:00,0.7,153.23,1.2,648
2025/10/1 8:00,0.4,153.31,4,474.5
2025/10/1 11:00,0.67,153.36,118.6,412.6
2025/10/1 14:00,0.57,153.42,55.3,408.1
2025/10/1 17:00,0.21,153.48,110.6,463.5
2025/10/1 20:00,0.13,153.49,219.5,278.3
