time,prcp,level,inflow,outflow
2011/6/12 8:00,1.7,150.16,113,0
2011/6/12 11:00,0.9,150.17,56.5,0
2011/6/12 14:00,2,150.17,0,0
2011/6/12 17:00,2.1,150.19,113,0
2011/6/12 20:00,3.8,150.21,135,21.6
2011/6/12 23:00,8.5,150.22,159,102
2011/6/13 2:00,2.7,150.23,78.9,22.4
2011/6/13 5:00,1.5,150.26,170,0
2011/6/13 8:00,1.4,150.29,170,0
2011/6/13 11:00,0.3,150.32,170,0
2011/6/13 14:00,5.4,150.34,113,0
2011/6/13 17:00,25.3,150.4,339,0
2011/6/13 20:00,4.6,150.49,509,0
2011/6/13 23:00,10.4,150.69,1133,0
2011/6/14 2:00,4.4,150.87,1026,0
2011/6/14 5:00,0.6,151.03,913,0
2011/6/14 8:00,0.1,151.16,742,0
2011/6/14 11:00,0.1,151.26,606,35.7
2011/6/14 14:00,0.1,151.34,571,114
2011/6/14 17:00,0.1,151.37,408,237
2011/6/14 20:00,,151.4,355,183
2011/6/14 23:00,,151.44,290,61.2
2011/6/15 2:00,,151.5,344,0
2011/6/15 5:00,,151.54,229,0
2011/6/15 8:00,,151.58,230,0
2011/6/15 11:00,,151.62,230,0
2011/6/15 14:00,,151.66,230,0
2011/6/15 17:00,,151.69,172,0
