time,prcp,level,outflow,inflow
2026/5/21 23:00,0.95,,,190
2026/5/22 2:00,4.82,154.19,361.5,301.9
2026/5/22 5:00,9.44,154.18,361.4,301.8
2026/5/22 8:00,9.69,154.16,439.5,320.5
2026/5/22 11:00,3.24,154.14,449.3,330.1
2026/5/22 14:00,8.37,154.17,178.2,356.9
2026/5/22 17:00,6.15,154.17,538.3,538.3
2026/5/22 20:00,3.48,154.21,424.1,662.5
2026/5/22 23:00,4.44,154.27,422.6,780.1
2026/5/23 2:00,0.92,154.34,449.4,866.4
2026/5/23 5:00,0.43,154.43,366,902.2
2026/5/23 8:00,0.62,154.51,365.9,842.5
2026/5/23 11:00,1.66,154.57,354,711.6
2026/5/23 14:00,1.14,154.65,146.7,623.3
2026/5/23 17:00,0.28,154.68,415,593.8
2026/5/23 20:00,0.22,154.69,539.2,598.9
2026/5/23 23:00,0.15,154.7,478.9,538.5
2026/5/24 2:00,,154.72,361,480.2
2026/5/24 5:00,,154.75,232.4,411.1
2026/5/24 8:00,,154.8,210.8,508.7
2026/5/24 11:00,,154.79,475.9,416.3
2026/5/24 14:00,,154.79,319.9,319.9
2026/5/24 17:00,,154.78,359.9,300.4
2026/5/24 20:00,,154.75,391.8,213.1
2026/5/24 23:00,,154.74,397.4,337.8
2026/5/25 2:00,,154.77,74.6,253.4
2026/5/25 5:00,,154.82,4,301.9
2026/5/25 8:00,,154.83,171.5,290.5
