time,prcp,level,inflow,outflow
2020/7/8 17:00,0.06,148.8,77.8,187.9
2020/7/8 20:00,2.47,148.78,62.8,172.9
2020/7/8 23:00,2.71,148.76,64.1,174.2
2020/7/9 2:00,5.2,148.78,110.1,0
2020/7/9 5:00,11.7,148.8,110.1,0
2020/7/9 8:00,26.62,148.88,440.2,0
2020/7/9 11:00,16.77,149.06,1117.2,122.5
2020/7/9 14:00,0.13,149.29,1455.5,173.4
2020/7/9 17:00,0.05,149.47,1107.1,103.6
2020/7/9 20:00,,149.59,875.8,207
2020/7/9 23:00,0.47,149.69,632.6,75.1
2020/7/10 2:00,0.13,149.77,445.9,0
2020/7/10 5:00,0.38,149.84,390.2,0
2020/7/10 8:00,0.28,149.88,370.6,147.6
2020/7/10 11:00,3.38,149.9,306.4,195
2020/7/10 14:00,1.28,149.9,277.4,277.4
2020/7/10 17:00,,149.89,317.8,373.5
2020/7/10 20:00,0.07,149.89,235.7,235.7
2020/7/10 23:00,,149.92,194.3,27
2020/7/11 2:00,,149.96,223,0
2020/7/11 5:00,,150,222.9,0
2020/7/11 8:00,,150.03,169.5,0
2020/7/11 11:00,,150.02,185.7,242.1
2020/7/11 14:00,,149.99,187.4,356.1
2020/7/11 17:00,,149.95,152.3,375.3
2020/7/11 20:00,,149.93,111.2,222.7
2020/7/11 23:00,,149.94,226.3,170.5
2020/7/12 2:00,,149.97,167.2,0
2020/7/12 5:00,,150,167.2,0
2020/7/12 8:00,,150.01,56.5,0
,,,,
,,,,
