time,prcp,level,inflow,outflow
2007/8/18 14:00,2.6,,,
2007/8/18 17:00,12.3,,,
2007/8/18 20:00,9.1,,,
2007/8/18 23:00,10.5,,,
2007/8/19 2:00,15.3,,,
2007/8/19 5:00,21.3,48.2,,
2007/8/19 8:00,14.3,47.2,440,700
2007/8/19 11:00,27.8,49.3,1430,730
2007/8/19 14:00,11.1,51.6,2070,1000
2007/8/19 17:00,4.8,55.8,3580,1280
2007/8/19 20:00,7.4,58.45,3060,1500
2007/8/19 23:00,6.8,59.95,2510,1610
2007/8/20 2:00,10.8,60.31,1880,1660
2007/8/20 5:00,9.6,60.48,1770,1670
2007/8/20 8:00,3.1,60.7,1810,1680
2007/8/20 11:00,3.3,61.9,2530,1720
2007/8/20 14:00,3.8,62.25,2020,1750
2007/8/20 17:00,5.7,62.4,1850,1770
2007/8/20 20:00,3.6,62.32,1810,1770
2007/8/20 23:00,2.3,62.04,1480,1760
2007/8/21 2:00,0.5,61.58,1140,1740
2007/8/21 5:00,0.1,61,1350,1720
2007/8/21 8:00,0.9,60.6,1480,1690
2007/8/21 11:00,,59.2,1020,1650
2007/8/21 14:00,,57.1,274,1530
