time,prcp,level,inflow,outflow
2019/6/21 17:00,0.65,150.96,,
2019/6/21 20:00,10.42,150.96,163.3,163.3
2019/6/21 23:00,4.79,150.97,241.8,185.3
2019/6/22 2:00,0.13,150.97,185.3,185.3
2019/6/22 5:00,2.26,150.97,185.3,185.3
2019/6/22 8:00,4.16,150.96,128.9,185.3
2019/6/22 11:00,6.53,150.96,190.3,190.3
2019/6/22 14:00,6.84,151,269.4,43.5
2019/6/22 17:00,7.85,151.08,458.1,0
2019/6/22 20:00,11.05,151.17,515.3,0
2019/6/22 23:00,15.82,151.28,629.9,0
2019/6/23 2:00,7.51,151.43,858.7,0
2019/6/23 5:00,4.75,151.61,1030.7,0
2019/6/23 8:00,6.27,151.83,1272.2,12.5
2019/6/23 11:00,11.66,152.05,1353.9,90.3
2019/6/23 14:00,10.84,152.25,1177,16.5
2019/6/23 17:00,5.14,152.46,1451,232.4
2019/6/23 20:00,1.14,152.71,1674.5,223.7
2019/6/23 23:00,0.3,152.97,1691.7,182.9
2019/6/24 2:00,,153.16,1296.7,181.8
2019/6/24 5:00,,153.33,1017.4,17.8
2019/6/24 8:00,,153.47,851.4,28.1
2019/6/24 11:00,,153.56,803.5,274.3
2019/6/24 14:00,,153.61,560.1,266.1
2019/6/24 17:00,,153.63,487.2,369.6
2019/6/24 20:00,,153.61,395.5,513.1
2019/6/24 23:00,,153.62,425.2,366.4
2019/6/25 2:00,,153.67,342.5,48.6
2019/6/25 5:00,,153.73,352.8,0
2019/6/25 8:00,,153.77,316.5,81.2
2019/6/25 11:00,,153.75,304.3,421.9
2019/6/25 14:00,,153.72,321.4,497.8
2019/6/25 17:00,,153.69,361,537.4
2019/6/25 20:00,,153.68,300.4,359.3
2019/6/25 23:00,,153.68,252.8,252.8
