time,prcp,level,inflow,outflow
2010/5/22 5:00,14.2,152.64,442,500
2010/5/22 8:00,14.6,152.64,510,510
2010/5/22 11:00,13.7,152.83,1600,500
2010/5/22 14:00,5,153.09,2061,550
2010/5/22 17:00,11.8,153.33,1965,560
2010/5/22 20:00,9.8,153.56,1906,560
2010/5/22 23:00,6.9,153.81,2013,550
2010/5/23 2:00,17.6,154.15,2550,550
2010/5/23 5:00,0.4,154.56,2977,550
2010/5/23 8:00,0.1,154.88,2454,560
2010/5/23 11:00,,155.1,1865,560
2010/5/23 14:00,,155.25,1452,560
2010/5/23 17:00,,155.34,1095,560
2010/5/23 20:00,,155.38,798,560
2010/5/23 23:00,,155.41,738,560
2010/5/24 2:00,,155.43,679,560
2010/5/24 5:00,,155.43,560,560
2010/5/24 8:00,,155.43,500,500
2010/5/24 11:00,,155.41,181,300
2010/5/24 14:00,,155.43,419,300
2010/5/24 17:00,,155.44,359,300
2010/5/24 20:00,,155.43,391,450
2010/5/24 23:00,,155.42,441,500
2010/5/25 2:00,,155.42,150,150
2010/5/25 5:00,,155.47,297,0
2010/5/25 8:00,,155.49,219,100
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
