time,prcp,level,inflow,outflow
2024/5/31 14:00,0.87,153.99,,
2024/5/31 17:00,4.46,153.94,226.2,520.3
2024/5/31 20:00,3.17,153.88,189.3,542.1
2024/5/31 23:00,22,153.84,313.5,548.8
2024/6/1 2:00,8.77,153.82,431.1,548.7
2024/6/1 5:00,7.87,153.81,489.8,548.7
2024/6/1 8:00,3.83,153.8,489.8,548.5
2024/6/1 11:00,13.26,153.79,466.6,525.4
2024/6/1 14:00,11.02,153.84,739.5,445.4
2024/6/1 17:00,12.57,153.97,1310.8,546.2
2024/6/1 20:00,13.92,154.19,1856,547.6
2024/6/1 23:00,4.65,154.46,2156.9,548.3
2024/6/2 2:00,5.84,154.75,2268.1,540.4
2024/6/2 5:00,4.63,155.03,2215.2,544.8
2024/6/2 8:00,3.46,155.25,1778.1,450.3
2024/6/2 11:00,2.19,155.48,1619.3,231.3
2024/6/2 14:00,0.93,155.66,1351.5,325.5
2024/6/2 17:00,1.04,155.79,1234.7,389.9
2024/6/2 20:00,0.52,155.88,1080.8,537.5
2024/6/2 23:00,0.12,155.93,839.5,537.9
2024/6/3 2:00,0.12,155.97,781,539.6
2024/6/3 5:00,0.12,155.99,660.4,539.7
2024/6/3 8:00,0.12,156.01,636.8,515.4
2024/6/3 11:00,,156.01,462.1,462.1
2024/6/3 14:00,,155.98,327.4,509.2
2024/6/3 17:00,,155.97,479.1,539.4
2024/6/3 20:00,,155.96,479.8,540.1
2024/6/3 23:00,,155.92,298.5,539.9
2024/6/4 2:00,,155.88,298.5,539.9
2024/6/4 5:00,,155.85,358.6,539.7
2024/6/4 8:00,,155.8,237.8,539.5
2024/6/4 11:00,,155.77,325.2,506.2
2024/6/4 14:00,,,90.7,513.1
2024/6/4 17:00,,,358.6,539.6
2024/6/4 20:00,,,299.1,540.5
2024/6/4 23:00,,,106.5,529
2024/6/5 2:00,,,237.8,539.6
2024/6/5 5:00,,,298,539.4
2024/6/5 8:00,,,177.1,539.2
