time,prcp,level,outflow,inflow
2017/7/4 14:00,0.07,154.44,145.7,324.4
2017/7/4 17:00,0.59,154.45,273.7,333.2
2017/7/4 20:00,16.63,154.45,360.1,360.1
2017/7/4 23:00,22.47,154.52,362.1,779.2
2017/7/5 2:00,1.01,154.64,400.6,1115.5
2017/7/5 5:00,,154.77,359.7,1134.2
2017/7/5 8:00,,154.86,393.1,929.2
2017/7/5 11:00,,154.9,536.7,774.9
2017/7/5 14:00,,154.9,537.5,537.5
2017/7/5 17:00,,154.9,537.6,537.6
2017/7/5 20:00,,154.9,537.4,537.4
2017/7/5 23:00,,154.89,518.1,458.5
2017/7/6 2:00,,154.9,359.4,418.9
2017/7/6 5:00,,154.9,359.3,359.3
2017/7/6 8:00,,154.89,411.8,352.2
2017/7/6 11:00,,154.85,533.8,295.6
2017/7/6 14:00,,154.84,489.1,429.4
