time,prcp,level,inflow,outflow
2013/6/10 17:00,0.26,152.33,193,541.1
2013/6/10 20:00,1.27,152.29,86.4,318.6
2013/6/10 23:00,4.3,152.25,135.3,367.5
2013/6/11 2:00,1.95,152.22,191.3,365.4
2013/6/11 5:00,2.41,152.25,177.9,3.8
2013/6/11 8:00,1.68,152.25,116.5,116.5
2013/6/11 11:00,1.25,152.22,187.2,361.3
2013/6/11 14:00,1.23,152.2,223.5,339.6
2013/6/11 17:00,0.47,152.14,197.4,545.5
2013/6/11 20:00,4.92,152.1,145.9,378
2013/6/11 23:00,1.52,152.08,251.4,367.4
2013/6/12 2:00,1.21,152.07,84,142.1
2013/6/12 5:00,2.19,152.11,236.1,4
2013/6/12 8:00,5.03,152.12,156.8,98.8
2013/6/12 11:00,6.38,152.15,314.3,140.3
2013/6/12 14:00,10.17,152.22,408.4,2.1
2013/6/12 17:00,1.05,152.27,338.1,48
2013/6/12 20:00,2.04,152.34,509.4,103.2
2013/6/12 23:00,1.33,152.4,559.5,211.3
2013/6/13 2:00,2.96,152.51,682.1,43.7
2013/6/13 5:00,7.43,152.6,526.3,4
2013/6/13 8:00,3.36,152.68,586.4,122.2
2013/6/13 11:00,2.78,152.76,818.3,354
2013/6/13 14:00,2.46,152.9,845.5,33.1
2013/6/13 17:00,0.87,153,761.4,181
2013/6/13 20:00,2,153.11,767.6,120.8
2013/6/13 23:00,0.35,153.23,705.5,0
2013/6/14 2:00,0.31,153.34,646.9,0
2013/6/14 5:00,0.53,153.43,529.2,0
2013/6/14 8:00,1.48,153.5,450.5,38.9
2013/6/14 11:00,0.48,153.53,502.4,326
2013/6/14 14:00,0.67,153.57,519.6,284.3
2013/6/14 17:00,0.47,153.58,418.4,359.6
2013/6/14 20:00,0.12,153.58,359.7,359.7
2013/6/14 23:00,0.07,153.58,359.7,359.7
2013/6/15 2:00,0,153.6,312.9,195.2
2013/6/15 5:00,0,153.66,352.8,0
2013/6/15 8:00,0.06,153.7,277,41.9
2013/6/15 11:00,0.2,153.71,343.2,284.4
2013/6/15 14:00,0.33,153.75,242.9,7.8
2013/6/15 17:00,0.22,153.77,298.7,181.1
2013/6/15 20:00,0.14,153.77,181.1,181.1
2013/6/15 23:00,0,153.79,330.6,213.1
2013/6/16 2:00,0,153.8,314.5,255.6
2013/6/16 5:00,0.07,153.83,176.4,0
2013/6/16 8:00,0.06,153.85,181.4,63.8
,,,,
,,,,
,,,,
,,,,
,,,,
