time,prcp,level,outflow,inflow
2016/6/15 11:00,2.4,,,
2016/6/15 14:00,3.5,,,
2016/6/15 17:00,1,,,
2016/6/15 20:00,0.2,151.18,0,171.8
2016/6/15 23:00,5.5,151.19,137.4,194.7
2016/6/16 2:00,3.6,151.23,16.3,245.3
2016/6/16 5:00,9.2,151.28,0,286.3
2016/6/16 8:00,8.5,151.32,27.3,256.4
2016/6/16 11:00,5.6,151.35,214.5,386.2
2016/6/16 14:00,4.4,151.44,0,515.3
2016/6/16 17:00,7.8,151.56,152.1,839.2
2016/6/16 20:00,5.9,151.71,0,858.9
2016/6/16 23:00,0.9,151.88,0,973.4
2016/6/17 2:00,0,152.03,0,861.2
2016/6/17 5:00,0,152.15,0,696.3
2016/6/17 8:00,0.1,152.22,195.2,601.4
2016/6/17 11:00,1,152.25,357.8,531.9
2016/6/17 14:00,2.3,152.32,0,406.3
2016/6/17 17:00,0.2,152.39,49.8,455.9
2016/6/17 20:00,0.1,152.46,0,406.2
2016/6/17 23:00,0.3,152.5,144.1,376.1
2016/6/18 2:00,0.1,152.53,134.1,308.1
2016/6/18 5:00,1.8,152.58,0,290.2
2016/6/18 8:00,19.7,152.62,112.4,344.5
2016/6/18 11:00,10,152.63,362.8,420.9
2016/6/18 14:00,0.5,152.73,75.8,656.2
2016/6/18 17:00,0.4,152.86,179,933.4
2016/6/18 20:00,0.1,153.01,0,871.2
2016/6/18 23:00,0.2,153.13,62.9,768.6
2016/6/19 2:00,0,153.22,138,667.2
2016/6/19 5:00,0.1,153.31,0,529.2
2016/6/19 8:00,1.4,153.39,0,470.5
2016/6/19 11:00,0.3,153.43,228.6,463.7
2016/6/19 14:00,0,153.43,362.6,362.7
2016/6/19 17:00,0,153.44,256,314.9
