time,prcp,level,inflow,outflow
2013/8/21 11:00,0.14,148.33,4,4
2013/8/21 14:00,0.46,148.33,37.7,37.7
2013/8/21 17:00,2.19,148.33,27,27
2013/8/21 20:00,9.73,148.35,114.1,4
2013/8/21 23:00,25.55,148.38,169.1,4
2013/8/22 2:00,11.57,148.44,333.9,3.8
2013/8/22 5:00,40.89,148.58,770.3,0
2013/8/22 8:00,22,148.85,1485.6,0
2013/8/22 11:00,13.17,149.18,1828.7,0
2013/8/22 14:00,7.51,149.47,1616.6,0
2013/8/22 17:00,8.17,149.69,1226.4,0
2013/8/22 20:00,4.38,149.87,1003.5,0.1
2013/8/22 23:00,4.27,150.06,1067.5,4
2013/8/23 2:00,2.33,150.23,964.3,4
2013/8/23 5:00,1.07,150.36,738.3,4
2013/8/23 8:00,3.93,150.49,738.3,4
2013/8/23 11:00,2.7,150.6,625.3,4
2013/8/23 14:00,0.06,150.69,512.4,4
2013/8/23 17:00,,150.77,455.9,4
2013/8/23 20:00,,150.85,455.9,4
2013/8/23 23:00,,150.92,399.4,4
2013/8/24 2:00,,150.97,286.4,4
2013/8/24 5:00,,151.03,345.2,4
2013/8/24 8:00,,151.08,290.3,4
2013/8/24 11:00,,151.13,290.3,4
2013/8/24 14:00,,151.17,277.2,48.2
2013/8/24 17:00,,151.2,221.4,49.6
2013/8/24 20:00,,151.25,290.3,4
2013/8/24 23:00,,151.27,196.8,82.3
2013/8/25 2:00,,151.32,290.3,4
2013/8/25 5:00,,151.34,118.4,4
2013/8/25 8:00,,151.37,175.7,4
