time,prcp,level,inflow,outflow
2022/6/9 2:00,1.08,153.06,191.6,544.4
2022/6/9 5:00,5.51,153,191.3,544.2
2022/6/9 8:00,1.03,152.95,253.7,543.9
2022/6/9 11:00,4.29,152.89,195.8,544
2022/6/9 14:00,9.71,152.84,235.4,525.6
2022/6/9 17:00,11.51,152.79,253.7,543.8
2022/6/9 20:00,4.24,152.76,326.9,500.9
2022/6/9 23:00,1.23,152.75,450.4,508.4
2022/6/10 2:00,3.54,152.8,836,545.9
2022/6/10 5:00,2.66,152.84,778.1,546
2022/6/10 8:00,4.13,152.86,662.2,546.1
2022/6/10 11:00,20.96,152.91,836.4,546.2
2022/6/10 14:00,8.03,152.99,987.5,523.2
2022/6/10 17:00,1.64,153.17,1601.5,543.9
2022/6/10 20:00,,153.39,1694.8,401.1
2022/6/10 23:00,0.2,153.55,1467.1,526.2
2022/6/11 2:00,0.27,153.66,1187.1,540.3
2022/6/11 5:00,0.05,153.74,1010.9,540.5
2022/6/11 8:00,,153.78,775.8,540.6
2022/6/11 11:00,0.13,153.8,660.4,542.8
2022/6/11 14:00,0.32,153.81,601.6,542.8
2022/6/11 17:00,0.55,153.8,484,542.8
2022/6/11 20:00,0.2,153.79,474.1,533
2022/6/11 23:00,0.13,153.78,462.2,521
2022/6/12 2:00,0.08,153.75,362.8,539.2
