time,prcp,level,inflow,outflow
2019/2/19 23:00,,152.25,,
2019/2/20 2:00,1.42,152.24,125.8,183.8
2019/2/20 5:00,2.33,152.24,183.7,183.7
2019/2/20 8:00,1.73,152.23,125.7,183.7
2019/2/20 11:00,0.38,152.24,134.2,76.1
2019/2/20 14:00,0.2,152.21,103.1,277.2
2019/2/20 17:00,4.75,152.17,46.2,278.4
2019/2/20 20:00,6.4,152.17,175.3,175.3
2019/2/20 23:00,5.61,152.18,240.4,182.4
2019/2/21 2:00,9.61,152.2,298.5,182.4
2019/2/21 5:00,4.22,152.22,298.5,182.4
2019/2/21 8:00,6.82,152.27,472.7,182.5
2019/2/21 11:00,16.87,152.36,622.9,100.7
2019/2/21 14:00,12.02,152.56,1160.5,0
2019/2/21 17:00,6.76,152.86,1740.9,0
2019/2/21 20:00,3.82,153.17,,3
2019/2/21 23:00,3,153.44,1591.8,4
2019/2/22 2:00,1.01,153.68,1415.2,4
2019/2/22 5:00,1.15,153.85,1003.8,4
2019/2/22 8:00,0.33,153.99,827.3,4
2019/2/22 11:00,,154.11,843.2,129.1
2019/2/22 14:00,,154.17,516.9,159.5
2019/2/22 17:00,,154.22,470.5,172.6
2019/2/22 20:00,,154.27,476.8,178.9
2019/2/22 23:00,,154.32,476.9,179
2019/2/23 2:00,,154.35,335.2,156.5
2019/2/23 5:00,,154.4,299.8,2
2019/2/23 8:00,,,358.3,60.5
2019/2/23 11:00,0.07,154.43,351.5,470.7
2019/2/23 14:00,0.06,154.39,303,
2019/2/23 17:00,4.29,154.33,163.6,521
2019/2/23 20:00,4.12,154.33,332.5,332.5
2019/2/23 23:00,1.17,154.35,326.3,207.1
2019/2/24 2:00,,154.34,294.4,354
2019/2/24 5:00,0.26,154.35,240.2,180.6
2019/2/24 8:00,0.21,154.37,296.1,177
2019/2/24 11:00,0.75,154.39,299.7,180.5
2019/2/24 14:00,0.31,154.4,240.1,180.6
2019/2/24 17:00,0.2,154.41,324.9,265.2
2019/2/24 20:00,,154.39,242.3,361.5
2019/2/24 23:00,,154.37,240.8,360
2019/2/25 2:00,,154.35,238.9,357.9
2019/2/25 5:00,,154.33,238.7,357.9
2019/2/25 8:00,,154.32,246.7,306.3
2019/2/25 11:00,,154.29,274.7,453.5
2019/2/25 14:00,,154.22,117.4,534.5
