time,prcp,level,inflow,outflow
2022/3/21 11:00,1,143.63,164.3,369.9
2022/3/21 14:00,0.1,143.57,-6.1,302.3
2022/3/21 17:00,,143.56,89.5,140.9
2022/3/21 20:00,,143.56,13.3,13.3
2022/3/21 23:00,3.2,143.59,154.2,0
2022/3/22 2:00,11.7,143.6,51.5,0
2022/3/22 5:00,3.1,143.63,154.2,0
2022/3/22 8:00,11.6,143.66,154.3,0
2022/3/22 11:00,11.7,143.67,155.2,103.8
2022/3/22 14:00,19.1,143.7,377.3,223.1
2022/3/22 17:00,7.8,143.81,965.4,399.8
2022/3/22 20:00,1.7,144,1070.2,93.2
2022/3/22 23:00,4.1,144.24,1251.4,0
2022/3/23 2:00,0.6,144.42,938.5,0
2022/3/23 5:00,0.1,144.58,834.2,0
2022/3/23 8:00,,144.71,677.8,0
2022/3/23 11:00,,144.82,573.5,0
2022/3/23 14:00,,144.92,521.4,0
2022/3/23 17:00,,145,417.1,0
2022/3/23 20:00,,145.07,370.1,0
2022/3/23 23:00,,145.15,422.8,0
2022/3/24 2:00,,145.21,317.2,0
2022/3/24 5:00,,145.27,317.2,0
2022/3/24 8:00,,145.32,264.3,0
2022/3/24 11:00,,145.37,309.8,45.5
2022/3/24 14:00,,145.39,262.6,156.9
2022/3/24 17:00,,145.41,300.8,195.1
2022/3/24 20:00,,145.39,219.5,325.2
,,,,
,,,,
,,,,
,,,,
