time,prcp,level,outflow,inflow
2016/9/14 11:00,0.97,149.39,182.2,126.5
2016/9/14 14:00,1.17,149.39,170.6,170.6
2016/9/14 17:00,2.36,149.38,185.4,129.7
2016/9/14 20:00,7.08,149.41,31,198.2
2016/9/14 23:00,12.15,149.45,62.3,285.2
2016/9/15 2:00,11.6,149.52,145.7,536
2016/9/15 5:00,9.76,149.63,4,617.2
2016/9/15 8:00,16.92,149.82,23.5,1082.7
2016/9/15 11:00,31.31,150.16,2.5,1909.6
2016/9/15 14:00,36.45,150.94,21.1,4426.9
2016/9/15 17:00,4.2,151.92,187.2,5793.8
2016/9/15 20:00,3.16,152.38,184.1,2847.4
2016/9/15 23:00,5.48,152.7,34,1891
2016/9/16 2:00,1.65,152.92,4,1280.6
2016/9/16 5:00,0.43,153.09,4,997.5
2016/9/16 8:00,1.4,153.2,139.6,786.4
2016/9/16 11:00,2.21,153.28,133,603.4
2016/9/16 14:00,0,153.36,84.1,554.6
2016/9/16 17:00,1.87,153.4,202.1,437.3
2016/9/16 20:00,4.04,153.47,75.3,487
2016/9/16 23:00,0.11,153.54,4,415.6
2016/9/17 2:00,0.35,153.62,4,474.4
2016/9/17 5:00,0,153.7,4,474.4
2016/9/17 8:00,0,153.76,4,356.8
2016/9/17 11:00,0.06,153.79,238.6,415.1
2016/9/17 14:00,0.24,153.84,3.1,297.1
2016/9/17 17:00,0.44,153.88,4,239.3
