time,prcp,level,inflow,outflow
2019/7/3 8:00,0.22,152.97,269.7,211.7
2019/7/3 11:00,0.48,152.92,197.6,487.9
2019/7/3 14:00,3,152.89,102.7,276.8
2019/7/3 17:00,8.12,152.88,307.7,365.7
2019/7/3 20:00,7.61,152.88,369.2,369.2
2019/7/3 23:00,3.39,152.9,486.5,370.6
2019/7/4 2:00,4.2,152.95,496.9,206.7
2019/7/4 5:00,8.24,153.06,643,0
2019/7/4 8:00,2.37,153.15,576.7,47.6
2019/7/4 11:00,2,153.24,712.1,182.9
2019/7/4 14:00,5.68,153.34,771,183
2019/7/4 17:00,0.23,153.46,914.5,208.8
2019/7/4 20:00,3.87,153.53,771.4,359.9
2019/7/4 23:00,2.57,153.6,769.3,357.7
2019/7/5 2:00,2.15,153.68,567.7,97.4
2019/7/5 5:00,17.61,153.78,636,47.9
2019/7/5 8:00,11.66,153.9,784,78.4
2019/7/5 11:00,3.84,154.03,1130.5,363.7
2019/7/5 14:00,3.38,154.19,1305,351.8
2019/7/5 17:00,7.62,154.36,1550.1,537.3
2019/7/5 20:00,0.92,154.49,1312.1,537.6
2019/7/5 23:00,0.07,154.6,1193.1,537.8
2019/7/6 2:00,,154.71,986.8,331.3
2019/7/6 5:00,,154.85,834,0
2019/7/6 8:00,,154.92,741.4,324.5
2019/7/6 11:00,0.2,154.93,594.2,534.6
2019/7/6 14:00,0.5,154.93,514.2,514.2
2019/7/6 17:00,1.3,154.93,536.4,536.4
2019/7/6 20:00,1.83,154.91,385.3,504.4
2019/7/6 23:00,,154.88,351.9,530.6
2019/7/7 2:00,,154.88,286,286
2019/7/7 5:00,0.26,154.94,420.8,63.3
2019/7/7 8:00,,154.98,342.9,104.6
2019/7/7 11:00,3.34,154.95,342.6,521.3
2019/7/7 14:00,8.6,154.91,295.6,533.9
2019/7/7 17:00,0.56,154.88,355.2,533.9
2019/7/7 20:00,0.39,154.85,355.2,533.9
2019/7/7 23:00,,154.82,355.1,533.8
2019/7/8 2:00,0.14,154.79,341.4,520.2
2019/7/8 5:00,1.78,154.79,330.1,330.1
