time,prcp,level,inflow,outflow
2019/7/7 11:00,3.34,154.95,342.6,521.3
2019/7/7 14:00,8.6,154.91,295.6,533.9
2019/7/7 17:00,0.56,154.88,355.2,533.9
2019/7/7 20:00,0.39,154.85,355.2,533.9
2019/7/7 23:00,¡¡,154.82,355.1,533.8
2019/7/8 2:00,0.14,154.79,341.4,520.2
2019/7/8 5:00,1.96,154.79,330.1,330.1
2019/7/8 8:00,15.3,154.78,371.9,431.4
2019/7/8 11:00,4.28,154.81,712.5,533.8
2019/7/8 14:00,0.18,154.87,894.7,537.3
2019/7/8 17:00,0.67,154.92,835.8,537.9
2019/7/8 20:00,2.02,154.95,707.6,528.9
2019/7/8 23:00,1.8,155.01,582.9,224.7
2019/7/9 2:00,4.81,155.07,693.8,331.6
2019/7/9 5:00,3.47,155.09,649.2,528.5
2019/7/9 8:00,9.1,155.09,535.9,535.9
2019/7/9 11:00,6.08,155.11,655.1,534.4
2019/7/9 14:00,2.78,155.17,896.6,534.5
2019/7/9 17:00,1.91,155.26,1078,534.8
2019/7/9 20:00,1.38,155.35,1072.2,529
2019/7/9 23:00,6.69,155.42,960.1,537.8
2019/7/10 2:00,3.93,155.51,1022.4,479.2
2019/7/10 5:00,7.71,155.63,1128,403.7
2019/7/10 8:00,6.37,155.78,1386.6,481.5
2019/7/10 11:00,2.54,155.93,1439.5,534.2
2019/7/10 14:00,1.27,156.08,1392.4,480.9
2019/7/10 17:00,0.55,156.19,1205.2,532.9
2019/7/10 20:00,0.82,156.25,900,533.3
2019/7/10 23:00,1.06,156.3,839.1,533.4
2019/7/11 2:00,0.25,156.35,768.1,462.4
2019/7/11 5:00,0.21,156.37,652.2,530
2019/7/11 8:00,¡¡,156.38,591,529.8
2019/7/11 11:00,0.07,156.38,527.8,527.8
2019/7/11 14:00,0.19,156.37,447.8,509
2019/7/11 17:00,0.59,156.35,402.3,524.5
2019/7/11 20:00,0.22,156.34,441,502.2
2019/7/11 23:00,0.07,156.31,345.8,529.2
