time,prcp,level,inflow,outflow
2019/4/29 20:00,¡¡,152,¡¡,¡¡
2019/4/29 23:00,0.26,151.99,126.5,183.7
2019/4/30 2:00,1.34,152,135.8,78.6
2019/4/30 5:00,19.91,152.05,292.9,2.7
2019/4/30 8:00,21.85,152.2,874.4,4
2019/4/30 11:00,17.56,152.4,1164.6,4
2019/4/30 14:00,3.11,152.7,1744.9,4
2019/4/30 17:00,1.67,152.91,1222.6,4
2019/4/30 20:00,3.71,153.07,937.8,3.8
2019/4/30 23:00,1.46,153.2,764.3,0
2019/5/1 2:00,3.33,153.31,646.9,0
2019/5/1 5:00,1.66,153.41,588.1,0
2019/5/1 8:00,0.22,153.5,529.2,0
2019/5/1 11:00,,153.54,523.4,288.2
2019/5/1 14:00,,153.56,422.8,305.2
2019/5/1 17:00,,153.59,357.1,180.7
2019/5/1 20:00,,153.63,415.4,180.2
2019/5/1 23:00,,153.65,297.7,180.2
2019/5/2 2:00,,153.66,239.1,180.2
2019/5/2 5:00,,153.68,297.7,180.2
2019/5/2 8:00,,153.7,297.9,180.2
2019/5/2 11:00,,153.71,239.2,180.3
2019/5/2 14:00,,153.71,180.3,180.3
2019/5/2 17:00,,153.71,207.9,207.9
2019/5/2 20:00,,153.69,242.3,360
2019/5/2 23:00,,153.67,242.3,359.9
2019/5/3 2:00,,153.64,175.6,352
2019/5/3 5:00,,153.65,240.1,181.4
2019/5/3 8:00,,153.65,182.7,182.7
