time,prcp,level,inflow,outflow
2012/2/22 11:00,2.33,145.5,110,110
2012/2/22 14:00,7.61,145.52,105.7,0
2012/2/22 17:00,3.45,145.51,95.1,148
2012/2/22 20:00,0.12,145.52,52.9,0
2012/2/22 23:00,0,145.52,0,0
2012/2/23 2:00,0.52,145.53,52.8,0
2012/2/23 5:00,0,145.55,105.7,0
2012/2/23 8:00,2.01,145.56,52.8,0
2012/2/23 11:00,17.41,145.65,475.7,0
2012/2/23 14:00,9.54,145.72,370.1,0
2012/2/23 17:00,7.05,145.83,581.5,0
2012/2/23 20:00,4.51,145.96,687.2,0
2012/2/23 23:00,4.45,146.13,908,0
2012/2/24 2:00,0.57,146.27,750.1,0
2012/2/24 5:00,1.2,146.39,642.9,0
2012/2/24 8:00,2.39,146.5,589.4,0
2012/2/24 11:00,2.76,146.61,589.4,0
2012/2/24 14:00,0.68,146.69,428.6,0
2012/2/24 17:00,4.08,146.77,428.7,0
2012/2/24 20:00,0.2,146.87,535.8,0
2012/2/24 23:00,0.13,146.95,428.7,0
2012/2/25 2:00,2.86,147.02,376.5,0
2012/2/25 5:00,1.34,147.1,434.4,0
2012/2/25 8:00,0.54,147.17,380.1,0
2012/2/25 11:00,0.72,147.23,364.9,39.1
2012/2/25 14:00,0,147.29,328,2.14
2012/2/25 17:00,0,147.35,325.905333,0
2012/2/25 20:00,0,,380.068333,0
2012/2/25 23:00,0,,271.516,0
2012/2/26 2:00,0,,217.149333,0
2012/2/26 5:00,0,,271.538667,0
2012/2/26 8:00,0,,271.538667,0
2012/2/26 11:00,0,,216.022667,107.4
2012/2/26 14:00,0,,217.194667,0
2012/2/26 17:00,0,,148.312333,39.7
2012/2/26 20:00,0,,245.556667,191.3
2012/2/26 23:00,0,,191.987667,192
2012/2/27 2:00,0,,175.924333,121.6
2012/2/27 5:00,0,,162.896,0
2012/2/27 8:00,0,,162.873333,0
2012/2/27 11:00,0,,218.853667,218.9
2012/2/27 14:00,0,,203.404333,40.5
2012/2/27 17:00,0,,130.478,184.8
2012/2/27 20:00,0,,155.2,155.2
,,,,
