time,prcp,level,inflow,outflow
2008/7/28 11:00,0.3,104.63,92,
2008/7/28 14:00,6.1,,138.6,
2008/7/28 17:00,13.5,104.77,185.2,
2008/7/28 20:00,8.5,,210.7,
2008/7/28 23:00,13.4,104.95,236.1,
2008/7/29 2:00,21.5,105.15,537,
2008/7/29 5:00,24,105.69,1450,
2008/7/29 8:00,6.6,106.5,2230,
2008/7/29 11:00,10.7,107.38,2490,
2008/7/29 14:00,12.6,108.08,2020,
2008/7/29 17:00,13.7,108.72,2040,
2008/7/29 20:00,11.7,109.55,2490,
2008/7/29 23:00,9.9,110.4,2590,
2008/7/30 2:00,7.5,111.45,3060,250
2008/7/30 5:00,4.7,112.2,3450,1000
2008/7/30 8:00,,112.78,2956,1110
2008/7/30 11:00,,113.13,2240,1120
2008/7/30 14:00,,113.37,1900,1120
2008/7/30 17:00,,113.44,1350,1130
2008/7/30 20:00,,113.49,1370,1130
2008/7/30 23:00,,113.45,1000,1130
2008/7/31 2:00,,113.33,731,1120
2008/7/31 5:00,,113.15,536,1120
2008/7/31 8:00,,112.97,538,1120
2008/7/31 11:00,,112.73,357,1120
2008/7/31 14:00,,112.52,445,1110
2008/7/31 17:00,,112.29,379,1110
2008/7/31 20:00,,112.03,284,1110
2008/7/31 23:00,,,,1100
2008/8/1 2:00,,,,1100
2008/8/1 5:00,,,,1100
2008/8/1 8:00,,111.05,176,868
