time,prcp,level,inflow,outflow
2022/3/30 20:00,　,146.1,　,　
2022/3/30 23:00,3.17,146.05,123,390
2022/3/31 2:00,11.04,146.02,231,392
2022/3/31 5:00,21.22,146.01,339,392
2022/3/31 8:00,9.3,146.03,500,392
2022/3/31 11:00,3.64,146.1,768,392
2022/3/31 14:00,1.57,146.24,1113,363
2022/3/31 17:00,4.16,146.39,1195,392
2022/3/31 20:00,4.74,146.52,1088,392
2022/3/31 23:00,3.15,146.64,1035,392
2022/4/1 2:00,2.24,146.75,981,392
2022/4/1 5:00,0.69,146.84,875,392
2022/4/1 8:00,0.34,146.93,875,392
2022/4/1 11:00,0.06,147,764,389
2022/4/1 14:00,　,147.05,660,389
2022/4/1 17:00,0.46,147.1,660,389
2022/4/1 20:00,1.41,147.13,552,389
2022/4/1 23:00,2.09,147.15,497,389
2022/4/2 2:00,0.61,147.18,420,257
2022/4/2 5:00,0.68,147.22,409,191
2022/4/2 8:00,0.12,147.26,408,191
2022/4/2 11:00,0.54,147.26,381,381
2022/4/2 14:00,0.07,147.28,352,243
2022/4/2 17:00,　,147.28,385,385
2022/4/2 20:00,　,147.26,277,385
2022/4/2 23:00,　,147.24,277,385
2022/4/3 2:00,　,147.21,222,385
2022/4/3 5:00,,147.19,277,385
2022/4/3 8:00,,147.18,331,385
2022/4/3 11:00,,147.15,222,385
2022/4/3 14:00,,147.12,204,367
2022/4/3 17:00,,147.15,259,96
2022/4/3 20:00,,147.17,278,169
2022/4/3 23:00,,147.16,198,252
2022/4/4 2:00,,147.13,222,385
2022/4/4 5:00,,147.1,222,385
