time,prcp,level,outflow,inflow
2014/8/16 14:00,3.61,154.8,304.8,364.4
2014/8/16 17:00,11.89,154.8,539.3,539.3
2014/8/16 20:00,3.27,154.89,298.1,834.2
2014/8/16 23:00,3.22,154.97,407.6,884.2
2014/8/17 2:00,5.43,155.06,143.2,684
2014/8/17 5:00,0.76,155.16,0,603.5
2014/8/17 8:00,,155.22,126.3,488.4
2014/8/17 11:00,0.27,155.24,370.2,491
2014/8/17 14:00,4.19,155.26,341.8,462.4
2014/8/17 17:00,5.32,155.27,535.1,535.1
2014/8/17 20:00,8.44,155.28,434.4,555.2
2014/8/17 23:00,0.13,155.3,467.4,588.2
2014/8/18 2:00,,155.29,521.6,461.2
2014/8/18 5:00,,155.31,248.5,369.3
2014/8/18 8:00,0.15,155.3,390,329.7
2014/8/18 11:00,,155.28,526.6,405.8
2014/8/18 14:00,4.4,155.28,362.7,362.7
2014/8/18 17:00,5.43,155.29,530.4,590.7
2014/8/18 20:00,2.95,155.31,506.8,627.5
2014/8/18 23:00,1.98,155.29,476,355.3
2014/8/19 2:00,0.14,155.28,481,420.7
2014/8/19 5:00,0.11,155.28,333.9,333.9
2014/8/19 8:00,,155.29,456.2,516.5
2014/8/19 11:00,5.17,155.26,530.2,349.2
2014/8/19 14:00,13.1,155.26,453,453
2014/8/19 17:00,8.73,155.29,533,714.1
2014/8/19 20:00,19.17,155.41,533.1,1257.3
2014/8/19 23:00,20.46,155.71,533.8,2344.4
2014/8/20 2:00,20.68,156.2,532.5,3505
2014/8/20 5:00,9.95,156.7,529.1,3585.3
2014/8/20 8:00,0.07,157.2,528,3599.6
2014/8/20 11:00,0.08,157.57,422.4,2712.7
2014/8/20 14:00,0.46,157.87,0,1856.8
2014/8/20 17:00,5.3,158.09,0,1368.7
2014/8/20 20:00,1.44,158.25,73.6,1076.3
2014/8/20 23:00,0.07,158.33,419,920.4
2014/8/21 2:00,0.07,158.4,427.2,865.8
2014/8/21 5:00,,158.43,518.9,706.9
2014/8/21 8:00,,158.44,518.7,581.5
2014/8/21 11:00,0.06,158.45,518.6,581.2
2014/8/21 14:00,0.41,158.45,520.3,520.3
2014/8/21 17:00,2.12,158.44,522.9,460.2
2014/8/21 20:00,0.69,158.43,522.9,460.2
2014/8/21 23:00,1.69,158.42,522.8,460.2
2014/8/22 2:00,1.32,158.41,522.8,460.2
2014/8/22 5:00,,158.4,522.8,460.1
2014/8/22 8:00,,158.38,522.7,397.5
2014/8/22 11:00,,158.36,522.7,397.3
2014/8/22 14:00,,158.34,478.9,353.6
2014/8/22 17:00,,158.31,507,319
2014/8/22 20:00,,158.29,466.9,341.5
2014/8/22 23:00,,158.23,522.5,146.6
2014/8/23 2:00,,158.19,523,272.4
2014/8/23 5:00,,158.15,522.9,272.2
2014/8/23 8:00,,158.11,522.7,272.1
2014/8/23 11:00,,158.06,522.6,209.2
2014/8/23 14:00,,158.01,522.5,209.1
2014/8/23 17:00,,157.97,523.4,275.1
2014/8/23 20:00,,157.93,524.7,277.1
2014/8/23 23:00,,157.88,524.1,214.7
2014/8/24 2:00,,157.83,523.1,213.6
2014/8/24 5:00,,157.78,523,213.5
2014/8/24 8:00,,157.73,522.7,213.2
2014/8/24 11:00,,157.68,522.3,212.9
2014/8/24 14:00,,157.63,522.1,212.7
2014/8/24 17:00,,157.58,522,212.5
2014/8/24 20:00,,157.52,521.7,150.4
2014/8/24 23:00,,157.47,521.5,212
2014/8/25 2:00,,157.41,514,142.6
2014/8/25 5:00,,157.36,524.7,215.3
2014/8/25 8:00,,157.3,524.5,153.1
2014/8/25 11:00,,157.23,525.9,92.6
2014/8/25 14:00,,157.18,527.2,217.7
2014/8/25 17:00,,157.14,530.2,282.7
2014/8/25 20:00,,157.08,488.5,117.1
2014/8/25 23:00,,157.03,526.4,217
2014/8/26 2:00,,156.97,529.9,160.9
2014/8/26 5:00,,156.92,529.8,224.1
2014/8/26 8:00,,156.86,523,162.7
2014/8/26 11:00,,156.79,522.9,101.2
2014/8/26 14:00,,156.73,522.7,162.2
2014/8/26 17:00,,156.68,522.6,223.1
2014/8/26 20:00,,156.63,522.5,200.5
2014/8/26 23:00,,156.57,523.4,163.6
2014/8/27 2:00,,156.5,524.7,102.3
2014/8/27 5:00,,156.45,524.1,153.3
