time,prcp,level,inflow,outflow
2019/8/9 11:00,1.24,149.32,25.4,415.6
2019/8/9 14:00,8.01,149.26,168.1,502.7
2019/8/9 17:00,1.68,149.17,5.1,506.8
2019/8/9 20:00,4.26,149.13,120.7,343.7
2019/8/9 23:00,11.59,149.1,208.9,376.1
2019/8/10 2:00,16.86,149.11,431.4,375.7
2019/8/10 5:00,14.05,149.21,648,90.5
2019/8/10 8:00,9.05,149.48,1505,0
2019/8/10 11:00,6.23,149.69,1178.2,7.6
2019/8/10 14:00,2.45,149.84,836.1,0
2019/8/10 17:00,0.84,149.97,724.7,0
2019/8/10 20:00,1.31,150.06,506.1,0
2019/8/10 23:00,0.64,150.14,451.9,0
2019/8/11 2:00,0.07,150.19,282.5,0
2019/8/11 5:00,0.07,150.24,282.4,0
2019/8/11 8:00,0,150.29,282.3,0
2019/8/11 11:00,0,150.32,227.6,58
2019/8/11 14:00,0,150.33,210.5,68
2019/8/11 17:00,1.96,150.34,200.6,144.1
2019/8/11 20:00,0.66,150.36,126.9,13.9
,,,,
,,,,
,,,,
,,,,
