time,prcp,level,inflow,outflow
2011/4/15 20:00,1.1,147,30,0
2011/4/15 23:00,0.5,147,40,0
2011/4/16 2:00,8.5,147.01,50,0
2011/4/16 5:00,11.3,147.03,107.4,0
2011/4/16 8:00,8.9,147.06,161,0
2011/4/16 11:00,13.1,147.08,189.8,82.5
2011/4/16 14:00,14.4,147.18,548.6,12.1
2011/4/16 17:00,13.1,147.35,912.2,0
2011/4/16 20:00,3.4,147.56,1126.8,0
2011/4/16 23:00,0,147.76,1132.2,59.1
2011/4/17 2:00,0.1,147.92,858.5,0
2011/4/17 5:00,7.6,148.05,701.8,0
2011/4/17 8:00,1.5,148.16,599.5,0
2011/4/17 11:00,,148.26,545,0
2011/4/17 14:00,,148.35,490.6,0
2011/4/17 17:00,,148.44,490.5,0
2011/4/17 20:00,,148.51,381.5,0
2011/4/17 23:00,,148.56,272.5,0
2011/4/18 2:00,,148.62,327,0
2011/4/18 5:00,,148.68,327,0
2011/4/18 8:00,,148.73,274,0
2011/4/18 11:00,,148.77,220,0
2011/4/18 14:00,,148.81,220,0
2011/4/18 17:00,,148.85,220,0
2011/4/18 20:00,,148.87,110,0
2011/4/18 23:00,,148.91,220,0
2011/4/19 2:00,,148.94,167,1.78
2011/4/19 5:00,,148.97,167,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
