time,prcp,level,inflow,outflow
2013/10/6 11:00,0.27,151.35,87.7,545.7
2013/10/6 14:00,0.36,151.29,49.4,393
2013/10/6 17:00,2.69,151.21,82,540
2013/10/6 20:00,7.07,151.16,178.2,464.5
2013/10/6 23:00,9.34,151.11,266.1,552.5
2013/10/7 2:00,32.41,151.13,643.7,529.1
2013/10/7 5:00,45.71,151.55,2404.8,0
2013/10/7 8:00,36.28,152.25,4027.4,0
2013/10/7 11:00,12.17,152.92,4380.4,492.4
2013/10/7 14:00,1.89,153.39,3307.1,549.4
2013/10/7 17:00,4.5,153.69,2313,548.9
2013/10/7 20:00,3.13,153.87,1584,525.6
2013/10/7 23:00,1.28,153.97,1031.8,443.7
2013/10/8 2:00,0.31,154.04,802.8,388.1
2013/10/8 5:00,0,154.15,710.2,54.8
2013/10/8 8:00,0.05,154.24,595.8,59.5
2013/10/8 11:00,0.07,154.28,416.2,177.9
2013/10/8 14:00,0.06,154.35,417.1,0
2013/10/8 17:00,0.05,154.4,297.8,0
2013/10/8 20:00,0.22,154.45,297.9,0
2013/10/8 23:00,0.33,154.5,369.6,71.7
2013/10/9 2:00,0.4,154.53,270.7,92
2013/10/9 5:00,0.07,154.57,238.4,0
2013/10/9 8:00,0.07,154.61,297.8,0
2013/10/9 11:00,,154.65,178.7,0
2013/10/9 14:00,,154.69,238.4,0
2013/10/9 17:00,,154.7,156.9,97.3
2013/10/9 20:00,,154.71,240.1,180.5
2013/10/9 23:00,,154.7,178.2,237.9
2013/10/10 2:00,,154.68,178.3,297.5
2013/10/10 5:00,,154.72,238.4,0
2013/10/10 8:00,,154.74,126,6.9
