time,prcp,level,inflow,outflow
2024/6/12 11:00,12.55,156.38,838.2,532.5
2024/6/12 14:00,21.89,156.47,1069.7,519.6
2024/6/12 17:00,6.36,156.71,2004.6,537.7
2024/6/12 20:00,1.07,156.96,2735.6,1207.5
2024/6/12 23:00,0.07,157.14,2430.5,1319.6
2024/6/13 2:00,0.07,157.23,1884.5,1327.4
2024/6/13 5:00,0.06,157.24,1391.5,1329.5
2024/6/13 8:00,0.72,157.21,1143.6,1329.3
2024/6/13 11:00,2.5,157.17,1080.1,1327.8
2024/6/13 14:00,2.81,157.11,953.8,1325.2
2024/6/13 17:00,9.08,157.05,950.9,1322.3
2024/6/13 20:00,1.14,157.03,1196.4,1320.2
2024/6/13 23:00,0.33,157.03,1175,1175
2024/6/14 2:00,0.42,157.03,997.2,997.2
2024/6/14 5:00,1.58,157,811.2,996.9
2024/6/14 8:00,1.47,156.97,812.4,995.8
2024/6/14 11:00,8.54,156.93,749.2,993.7
2024/6/14 14:00,4.76,156.91,615.2,737.4
