time,prcp,level,inflow,outflow
2022/6/5 14:00,,152.29,,
2022/6/5 17:00,0.52,152.24,258.5,548.6
2022/6/5 20:00,7.26,152.21,374.3,548.4
2022/6/5 23:00,11.62,152.19,432.2,548.3
2022/6/6 2:00,19.95,152.22,702.6,528.5
2022/6/6 5:00,18.23,152.42,1530.2,369.6
2022/6/6 8:00,2.33,152.84,2855.1,417.9
2022/6/6 11:00,0.06,153.17,2474.8,546.6
2022/6/6 14:00,,153.41,1886.4,475.1
2022/6/6 17:00,,153.53,1249.1,543.4
2022/6/6 20:00,,153.61,1014,543.5
2022/6/6 23:00,,153.66,790,496
2022/6/7 2:00,,153.68,645.6,528.1
2022/6/7 5:00,,153.68,535.9,535.9
2022/6/7 8:00,,153.67,477.1,535.9
2022/6/7 11:00,,153.65,423.4,541
2022/6/7 14:00,,153.63,424.3,541.9
2022/6/7 17:00,,153.59,306.6,541.8
2022/6/7 20:00,,153.55,306.5,541.7
2022/6/7 23:00,,153.5,247.6,541.6
2022/6/8 2:00,,153.46,306.4,541.5
2022/6/8 5:00,,153.41,247.2,541.3
2022/6/8 8:00,,153.36,247.2,541.2
2022/6/8 11:00,,153.32,306,541.2
2022/6/8 14:00,,153.27,243.3,537.4
2022/6/8 17:00,,153.23,307.1,542.4
2022/6/8 20:00,,153.17,189.7,542.5
2022/6/8 23:00,,153.12,250.3,544.3
