time,prcp,level,inflow,outflow
2007/10/6 11:00,0.0625,,,
2007/10/6 14:00,0.1875,,,
2007/10/6 17:00,8.2,,,
2007/10/6 20:00,6.9,,,
2007/10/6 23:00,5.8,,,
2007/10/7 2:00,5.4,,,
2007/10/7 5:00,13.7,,,
2007/10/7 8:00,31.7,,,
2007/10/7 11:00,16.3,,,
2007/10/7 14:00,28.4,49.8,843,843
2007/10/7 17:00,2.6,51.7,2030,1130
2007/10/7 20:00,5.3,54.7,2970,1340
2007/10/7 23:00,5.5,56.3,2360,1440
2007/10/8 2:00,13.8,57.3,2090,1500
2007/10/8 5:00,16.1,58.3,2150,1550
2007/10/8 8:00,11.1,59.7,2470,1630
2007/10/8 11:00,6.4,61,2480,1700
2007/10/8 14:00,4.1,62.5,2870,1780
2007/10/8 17:00,5.5,63.73,2900,1830
2007/10/8 20:00,2.4,63.78,1890,1840
2007/10/8 23:00,1,63.74,1800,1840
2007/10/9 2:00,0.7,63.64,1740,1830
2007/10/9 5:00,0.5,63.5,1690,1820
2007/10/9 8:00,0.6,63.13,1460,1800
2007/10/9 11:00,,,1750,1750
2007/10/9 14:00,,60.65,784,1690
,,,,
