time,prcp,level,outflow,inflow
2014/6/22 5:00,0.88,,,
2014/6/22 8:00,2.08,152.26,4,120.012
2014/6/22 11:00,8.84,152.3,4,236.204667
2014/6/22 14:00,5.38,152.34,56.2,288.227
2014/6/22 17:00,2.46,152.35,223.4,281.476333
2014/6/22 20:00,11.17,152.4,42.8,332.845333
2014/6/22 23:00,4.51,152.44,126.8,358.98
2014/6/23 2:00,1.15,152.52,5.8,470.096333
2014/6/23 5:00,5.71,152.6,4,468.229
2014/6/23 8:00,19.37,152.7,4,584.308667
2014/6/23 11:00,18.99,152.89,164.7,1267.232333
2014/6/23 14:00,20.44,153.25,251.2,2359.64
2014/6/23 17:00,10.27,153.71,361.3,3066.332667
2014/6/23 20:00,3.55,154.13,122.5,2602.315
2014/6/23 23:00,4.32,154.43,248.1,2035.359333
2014/6/24 2:00,8.57,154.71,308.9,1977.102333
2014/6/24 5:00,6.28,155.05,61.3,2090.696667
2014/6/24 8:00,9.35,155.37,358.7,2289.870333
2014/6/24 11:00,9.86,155.65,525.5,2215.329667
2014/6/24 14:00,2.9,155.92,488.2,2117.649
2014/6/24 17:00,3.8,156.12,535.5,1751.748
2014/6/24 20:00,2.43,156.27,375.9,1292.799667
2014/6/24 23:00,0.13,156.37,529.6,1140.834667
2014/6/25 2:00,0.26,156.47,278.6,889.841667
2014/6/25 5:00,0.56,156.58,77.9,750.277
2014/6/25 8:00,0.06,156.66,234.6,723.577667
2014/6/25 11:00,,156.67,526.5,587.581
2014/6/25 14:00,,156.71,316.3,560.851333
2014/6/25 17:00,,156.71,527.4,527.436333
2014/6/25 20:00,,156.69,499.5,377.262667
2014/6/25 23:00,,156.67,462.7,340.413667
2014/6/26 2:00,,156.66,436.1,375.055333
2014/6/26 5:00,,156.66,357.1,357.055
2014/6/26 8:00,,156.64,432.5,249.054333
2014/6/26 11:00,,156.6,517.4,272.954333
2014/6/26 14:00,,156.61,253.8,314.895
2014/6/26 17:00,,156.59,435.3,313.005667
2014/6/26 20:00,,156.56,420.4,237.033333
2014/6/26 23:00,,156.51,529.3,223.643667
2014/6/27 2:00,,156.46,529.1,223.593667
2014/6/27 5:00,,156.41,528.9,223.296333
2014/6/27 8:00,,156.36,528.8,223.171333
