time,prcp,level,outflow,inflow
2018/5/30 14:00,1.67,150.36,4,173.5
2018/5/30 17:00,1.12,150.41,15.4,297.9
2018/5/30 20:00,5.6,150.51,25.9,590.7
2018/5/30 23:00,5.82,150.65,4,794.8
2018/5/31 2:00,5.78,150.75,60.4,625.3
2018/5/31 5:00,0.19,150.81,3.5,342.4
2018/5/31 8:00,1.73,150.87,4,342.9
2018/5/31 11:00,6.62,150.94,4,399.4
2018/5/31 14:00,14.95,151.04,4,571.9
2018/5/31 17:00,4.33,151.22,4,1034.7
2018/5/31 20:00,1.63,151.38,4,920.1
2018/5/31 23:00,0.67,151.51,4,748.3
2018/6/1 2:00,0.33,151.61,4,576.6
2018/6/1 5:00,0.48,151.7,4,519.3
2018/6/1 8:00,1.67,151.77,4,404.8
2018/6/1 11:00,0.27,151.83,49.1,392.7
2018/6/1 14:00,0.12,151.88,40.1,326.4
2018/6/1 17:00,0.06,151.94,4,347.5
2018/6/1 20:00,0.13,151.98,4,233
2018/6/1 23:00,,,4,350.6
2018/6/2 2:00,,,4,236.2
2018/6/2 5:00,,,4,236.1
2018/6/2 8:00,,,4,236.2
2018/6/2 11:00,,,87,203
