time,prcp,level,inflow,outflow
2024/6/14 17:00,11.21,156.93,659.1,536.9
2024/6/14 20:00,3.04,156.99,903.8,537
2024/6/14 23:00,2.59,157.15,1526.6,537.2
2024/6/15 2:00,15.95,157.34,1712.1,536
2024/6/15 5:00,9.02,157.59,2059.7,512.4
2024/6/15 8:00,8.96,157.83,1977.5,491.9
2024/6/15 11:00,8.18,158.03,1756.9,516.7
2024/6/15 14:00,1.8,158.16,2065.9,1251.2
2024/6/15 17:00,7.5,158.32,2304,1301.4
2024/6/15 20:00,2.05,158.41,1932.7,1368.7
2024/6/15 23:00,0.12,158.47,1871,1495.1
2024/6/16 2:00,1.08,158.49,1622.8,1497.5
2024/6/16 5:00,4.54,158.48,1435.1,1497.8
2024/6/16 8:00,4.99,158.45,1308.5,1496.5
2024/6/16 11:00,1.05,158.34,1298.3,1987.6
2024/6/16 14:00,4.42,158.22,1235.4,1987.4
