time,prcp,level,outflow,inflow
2017/6/13 8:00,,149.94,44.4,434.7
2017/6/13 11:00,0.41,149.99,85.4,364.1
2017/6/13 14:00,2.28,150.05,0,338.1
2017/6/13 17:00,11.48,150.12,141.1,536.4
2017/6/13 20:00,12.14,150.25,0,734.3
2017/6/13 23:00,1.1,150.39,43.5,834.4
2017/6/14 2:00,2.26,150.53,8.7,799.5
2017/6/14 5:00,1.96,150.67,0,790.8
2017/6/14 8:00,2.65,150.79,40.6,718.3
2017/6/14 11:00,0.85,150.85,177.7,516.7
2017/6/14 14:00,1.34,150.95,0,564.8
2017/6/14 17:00,2.33,151.03,25.3,479.5
2017/6/14 20:00,3.19,151.09,185.1,528.7
2017/6/14 23:00,0.69,151.13,185,414.1
2017/6/15 2:00,0.47,151.18,185,471.3
2017/6/15 5:00,0.11,151.22,185.1,414.2
2017/6/15 8:00,4.15,151.25,185.1,356.9
2017/6/15 11:00,2.46,151.26,384.1,441.3
2017/6/15 14:00,2.8,151.31,119.5,405.8
2017/6/15 17:00,3.62,151.34,184.3,356
2017/6/15 20:00,2.11,151.37,184.4,356.2
2017/6/15 23:00,0.75,151.43,184.4,527.9
2017/6/16 2:00,1.81,151.5,54.6,455.5
2017/6/16 5:00,12.22,151.58,0,458.1
2017/6/16 8:00,8.28,151.69,41.7,671.5
2017/6/16 11:00,9.41,151.78,365.5,880.8
2017/6/16 14:00,7.5,151.98,80.8,1226
2017/6/16 17:00,4.58,152.21,182.2,1515.4
2017/6/16 20:00,0.61,152.43,182.4,1459
2017/6/16 23:00,1.25,152.62,182.6,1285.2
2017/6/17 2:00,0.32,152.79,28.4,1014.9
2017/6/17 5:00,2.64,152.96,0,986.6
2017/6/17 8:00,2.69,153.08,91.2,793.7
2017/6/17 11:00,0.51,153.15,362.6,774.2
2017/6/17 14:00,0.21,153.23,181.3,651.7
2017/6/17 17:00,0.12,153.28,368.9,663
2017/6/17 20:00,,153.29,369,427.8
2017/6/17 23:00,,153.3,369,427.9
2017/6/18 2:00,,153.32,369,486.7
2017/6/18 5:00,,153.35,186.4,362.8
2017/6/18 8:00,,153.38,162.9,339.3
2017/6/18 11:00,,153.4,151.8,269.3
2017/6/18 14:00,,153.42,173.8,291.4
2017/6/18 17:00,,153.46,180.5,415.8
2017/6/18 20:00,,153.5,65.5,300.7
2017/6/18 23:00,,153.5,213.5,213.5
2017/6/19 2:00,,153.55,57.1,351.1
