time,prcp,level,inflow,outflow
2022/6/17 11:00,0.6,153.13,192.8,545.6
2022/6/17 14:00,0.51,153.07,193.2,546
2022/6/17 17:00,1.7,153.02,251.8,545.8
2022/6/17 20:00,1.02,152.97,253.3,545.1
2022/6/17 23:00,1.29,152.91,126.6,474.8
2022/6/18 2:00,0.53,152.86,255.7,545.9
2022/6/18 5:00,3.24,152.8,197.5,545.7
2022/6/18 8:00,12.99,152.75,255.4,545.5
2022/6/18 11:00,25.3,152.72,371.4,545.4
2022/6/18 14:00,18.34,152.71,487.5,545.5
2022/6/18 17:00,15.79,152.85,1358,545.7
2022/6/18 20:00,9.2,153.21,2651.7,546.3
2022/6/18 23:00,8.12,153.68,3246.9,483.2
2022/6/19 2:00,3.55,154.1,3020.6,543
2022/6/19 5:00,5.4,154.43,2507.9,541.9
2022/6/19 8:00,5.32,154.66,1912.7,542.4
2022/6/19 11:00,1.49,154.84,1615,542.7
2022/6/19 14:00,¡¡,154.99,1430.6,536.9
2022/6/19 17:00,0.8,155.1,1200.3,537.2
2022/6/19 20:00,0.31,155.17,959.8,537.4
2022/6/19 23:00,0.26,155.22,786.8,485
2022/6/20 2:00,0.21,155.25,716,534.9
2022/6/20 5:00,2.67,155.27,655.7,535
2022/6/20 8:00,4.75,155.28,595.3,535
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
