time,prcp,level,outflow,inflow
2016/5/5 20:00,5.7,151.64,142.2,85
2016/5/5 23:00,0.8,151.66,129.5,244
2016/5/6 2:00,6.9,151.68,93.2,207.7
2016/5/6 5:00,18.5,151.74,4,347.6
2016/5/6 8:00,11.7,151.85,96.8,726.7
2016/5/6 11:00,2.2,151.99,417.5,1219.2
2016/5/6 14:00,0.1,152.14,303.6,1173.2
2016/5/6 17:00,,152.27,367,1121.5
2016/5/6 20:00,,152.38,184.4,822.8
2016/5/6 23:00,0.4,152.45,297.7,703.9
2016/5/7 2:00,2.2,152.48,369.8,543.9
2016/5/7 5:00,0.1,152.52,369.8,601.9
2016/5/7 8:00,,152.54,369.8,485.8
2016/5/7 11:00,0.5,152.55,369.8,427.9
2016/5/7 14:00,,152.57,190.4,306.4
2016/5/7 17:00,3,152.59,226,342
2016/5/7 20:00,2.7,152.61,181.1,297.2
2016/5/7 23:00,0.6,152.63,243.9,360
2016/5/8 2:00,5.5,152.61,303.4,187.3
2016/5/8 5:00,9.1,152.64,184,358.1
2016/5/8 8:00,1.7,152.67,244.8,418.9
2016/5/8 11:00,1.7,152.66,503.6,445.6
2016/5/8 14:00,4.8,152.65,487.2,429.2
2016/5/8 17:00,1,152.66,547.4,605.4
2016/5/8 20:00,2.5,152.72,237.9,586
2016/5/8 23:00,4.5,152.76,322,554
2016/5/9 2:00,1.1,152.84,192.7,656.9
2016/5/9 5:00,9.2,152.95,4,642.4
2016/5/9 8:00,8.1,153.06,120.6,763.7
2016/5/9 11:00,9,153.13,525.7,937.4
2016/5/9 14:00,5.4,153.37,114.8,1526
2016/5/9 17:00,0.8,153.61,181.6,1593
2016/5/9 20:00,0.1,153.86,156.4,1626.5
2016/5/9 23:00,3.1,154.06,272.3,1453
2016/5/10 2:00,8.2,154.24,315.2,1387.7
2016/5/10 5:00,6.9,154.41,180.2,1193
2016/5/10 8:00,9.3,154.58,265.9,1278.7
2016/5/10 11:00,1.9,154.76,521.9,1594.3
2016/5/10 14:00,0.1,154.92,455.5,1408.7
2016/5/10 17:00,0.2,155.03,532.4,1190
2016/5/10 20:00,,155.08,533.4,835.2
2016/5/10 23:00,,155.12,538.1,779.5
2016/5/11 2:00,,155.15,537.9,718.9
2016/5/11 5:00,,155.21,196.6,558.8
2016/5/11 8:00,,155.24,347.7,528.7
2016/5/11 11:00,,155.23,528.9,468.5
2016/5/11 14:00,,155.26,284.9,466
2016/5/11 17:00,,155.24,513.9,393.3
2016/5/11 20:00,,155.22,357.4,236.6
2016/5/11 23:00,,155.21,419.2,358.9
2016/5/12 2:00,,155.19,422.6,301.9
2016/5/12 5:00,,155.24,4,305.8
2016/5/12 8:00,,155.24,228.5,228.5
