time,prcp,level,outflow,inflow
2018/6/5 11:00,0.21,152.39,194.1,136.1
2018/6/5 14:00,7.3,152.36,236.8,62.7
2018/6/5 17:00,8.06,152.33,354.8,180.7
2018/6/5 20:00,15.53,152.38,2.5,292.7
2018/6/5 23:00,25.75,152.52,4,816.4
2018/6/6 2:00,11.23,152.75,4,1338.7
2018/6/6 5:00,3.96,153.05,4,1748.8
2018/6/6 8:00,1.25,153.35,4,1768.1
2018/6/6 11:00,6.49,153.58,4,1356.5
2018/6/6 14:00,0.62,153.76,4,1062.3
2018/6/6 17:00,0.06,153.93,4,1003.7
2018/6/6 20:00,0.19,154.06,4,773.1
2018/6/6 23:00,,154.17,4,659.3
2018/6/7 2:00,,154.27,4,599.9
2018/6/7 5:00,,154.35,4,480.6
2018/6/7 8:00,,154.43,4,480.5
2018/6/7 11:00,,154.45,327,446.1
2018/6/7 14:00,,154.47,277.6,396.8
2018/6/7 17:00,,154.47,352.6,352.6
2018/6/7 20:00,,154.45,363.3,244.1
2018/6/7 23:00,,154.42,409.6,230.9
2018/6/8 2:00,,154.41,362.6,303.1
2018/6/8 5:00,,154.39,362.6,243.4
2018/6/8 8:00,,154.39,201.5,201.5
2018/6/8 11:00,,154.38,277.5,217.9
2018/6/8 14:00,,154.37,354.1,294.5
2018/6/8 17:00,,154.35,351,231.9
2018/6/8 20:00,,154.32,360.6,181.9
2018/6/8 23:00,,154.3,306.5,187.4
